# SKA1-low layout: /home/aly/syncthing/git/fg21sim/fg21sim/uvsim/ska1low.layout.txt
# All stations layout
# East[m]   North[m]   Up[m]
9.893250791507419706e+01 1.727058598276633745e+02 0.000000000000000000e+00
1.114972428704697052e+02 9.936119881116739805e+01 0.000000000000000000e+00
-2.214834886890538002e+01 1.005682920674905461e+02 0.000000000000000000e+00
1.412285327012552898e+02 -7.678683479821857816e+01 0.000000000000000000e+00
1.702182058346101599e+02 1.000685603134070618e+02 0.000000000000000000e+00
3.855988702232475873e+01 -1.957440457961867821e+02 0.000000000000000000e+00
-1.666268003161129343e+02 -1.072462795108910569e+02 0.000000000000000000e+00
8.918896806829221191e+01 -2.425460382301232798e+01 0.000000000000000000e+00
1.934659921874343524e+02 -1.610581730327944001e+02 0.000000000000000000e+00
1.986743410380040586e+02 -1.979238942246319084e+02 0.000000000000000000e+00
-1.876963312236070465e+02 2.349183595272840535e+02 0.000000000000000000e+00
1.325389499644282978e+02 -2.052380951044065398e+02 0.000000000000000000e+00
-2.802640095135573688e+02 9.680240624922339521e+01 0.000000000000000000e+00
7.932600915836096078e+01 -2.904434666997030945e+02 0.000000000000000000e+00
-1.319026418047531592e+02 -2.153132050591220263e+02 0.000000000000000000e+00
2.817560876669764411e+02 1.390030555616515073e+02 0.000000000000000000e+00
-1.638522441364611666e+02 -1.910338006050219803e+02 0.000000000000000000e+00
1.999029464475322300e+02 1.747456142462053492e+02 0.000000000000000000e+00
-8.465451270529817407e+01 -2.396778958724704296e+02 0.000000000000000000e+00
-2.293036618954039056e+02 -8.236251486529587851e+01 0.000000000000000000e+00
5.465362195433848314e+01 -2.468975106473372705e+02 0.000000000000000000e+00
-1.464904899744148850e+02 2.066425567643983072e+02 0.000000000000000000e+00
-2.897466822524088457e+02 5.528071598162347300e+01 0.000000000000000000e+00
-1.645673662734301956e+02 -2.375756856169477942e+02 0.000000000000000000e+00
-2.678560872290900079e+02 1.813081142826989378e+01 0.000000000000000000e+00
-1.191634125752334228e+02 2.824405186887859145e+02 0.000000000000000000e+00
2.790363664868597198e+02 -1.253508964074989933e+02 0.000000000000000000e+00
-2.273777404605945094e+02 6.125637066104092554e+01 0.000000000000000000e+00
-2.559001279045583033e+02 1.600889885726031139e+02 0.000000000000000000e+00
9.426061740047937576e+01 2.214737337533287018e+02 0.000000000000000000e+00
2.638306896933668213e+02 4.898669304080666365e+01 0.000000000000000000e+00
1.181642594419477916e+02 -2.567226527889621366e+02 0.000000000000000000e+00
1.153418718510316978e+02 -1.745372417415825339e+02 0.000000000000000000e+00
-6.374201201405841033e+01 2.774271872465283764e+02 0.000000000000000000e+00
-1.022929144752779109e+02 2.170748819162678842e+02 0.000000000000000000e+00
2.432104085228812949e+02 -1.023811524696233022e+02 0.000000000000000000e+00
1.679038386852699887e+02 2.402692058462372984e+02 0.000000000000000000e+00
-4.270659402003361294e+01 2.312034261825680233e+02 0.000000000000000000e+00
-2.313366531592390629e+02 1.945307659103206390e+02 0.000000000000000000e+00
2.421604864940329662e+02 9.555225428864071091e+01 0.000000000000000000e+00
-2.168486636596101107e+02 -3.683314728914498914e+01 0.000000000000000000e+00
1.371564478812721859e+02 2.573916147971351620e+02 0.000000000000000000e+00
5.397983327347198212e+01 2.615893763133636298e+02 0.000000000000000000e+00
-1.814778063645642874e+02 -1.399249602485949993e+02 0.000000000000000000e+00
1.050725349025947963e+01 -2.466170706555953416e+02 0.000000000000000000e+00
-1.075475256355707927e+02 -2.733637309619976463e+02 0.000000000000000000e+00
-2.189890956091032024e+02 1.452689749842220408e+02 0.000000000000000000e+00
-2.762531434496819998e+02 -1.170308041544704025e+02 0.000000000000000000e+00
-1.614904818736165453e+02 1.309588168256545373e+02 0.000000000000000000e+00
1.570928889692023347e+02 -1.662985453702659697e+02 0.000000000000000000e+00
-2.047859950551663388e+01 3.000439761935041361e+02 0.000000000000000000e+00
2.240391075904937850e+02 1.459170707323876854e+02 0.000000000000000000e+00
2.128519082154378168e+02 -6.961681300653251014e+01 0.000000000000000000e+00
-2.314146151399651785e+02 1.091200082740497947e+02 0.000000000000000000e+00
1.283388090718040075e+01 2.631440194832635484e+02 0.000000000000000000e+00
1.771376892813545396e+02 1.435300599711641212e+02 0.000000000000000000e+00
2.809972426301893620e+02 -1.073307448089597926e+01 0.000000000000000000e+00
-2.005331984909515484e+02 -2.009997537507776997e+02 0.000000000000000000e+00
2.463107895439302979e+02 -1.604474733116328480e+02 0.000000000000000000e+00
-2.416478773044800334e+02 -1.981340573368254354e+02 0.000000000000000000e+00
-2.142220698620364487e+02 -1.677420120391442993e+02 0.000000000000000000e+00
-2.710649486452715564e+02 -7.647206517240094570e+01 0.000000000000000000e+00
-4.013026700827310833e+01 -2.734287090272529781e+02 0.000000000000000000e+00
2.251013107131150264e+02 6.303365565949526683e+01 0.000000000000000000e+00
1.691005148608923321e+02 -2.215450855974445972e+02 0.000000000000000000e+00
2.360188792658570947e+02 1.957262192244928940e+02 0.000000000000000000e+00
9.218333487840146745e+01 2.745628127036703177e+02 0.000000000000000000e+00
-2.788394561513692338e+02 -3.915453278566771189e+01 0.000000000000000000e+00
3.053210499838340297e+02 -6.804534008816291646e+01 0.000000000000000000e+00
-1.803790957482133592e+02 1.896153680977185729e+02 0.000000000000000000e+00
2.605556273032170367e+01 3.117877348193796934e+02 0.000000000000000000e+00
-1.318079943885488206e+02 2.404280794521929749e+02 0.000000000000000000e+00
-2.157535809321136355e+02 -1.301063337853526889e+02 0.000000000000000000e+00
2.357430639837272111e+02 -2.009261257531328226e+02 0.000000000000000000e+00
-2.070637371935372784e+01 -2.304734063272024969e+02 0.000000000000000000e+00
1.695871318598993867e+02 -2.569082763212934424e+02 0.000000000000000000e+00
2.956907725271453842e+02 3.167779962498871882e+01 0.000000000000000000e+00
2.193421648364037821e+02 -1.312132955054642309e+02 0.000000000000000000e+00
1.729036721900664872e+02 2.037758074322672712e+02 0.000000000000000000e+00
2.500518672653612384e+02 9.785662938823247003e+00 0.000000000000000000e+00
-4.045991542667941587e+00 2.282229579735496259e+02 0.000000000000000000e+00
2.025181929280970223e+02 2.228397421206238107e+02 0.000000000000000000e+00
2.057272756173555592e+02 1.085631253113218833e+02 0.000000000000000000e+00
-3.095481239518368284e+02 2.342724240894658649e+01 0.000000000000000000e+00
-3.197943571728740721e+02 -8.640981976479261562e+01 0.000000000000000000e+00
4.164789954042111617e+02 -6.295722276448061905e+01 0.000000000000000000e+00
-3.832452556082084811e+02 -1.191454623987598325e+02 0.000000000000000000e+00
6.430923807322824359e+01 3.924970576390392125e+02 0.000000000000000000e+00
8.688033824508883640e+01 -3.672739097825890440e+02 0.000000000000000000e+00
-1.681644330975971684e+02 -3.461239626756323560e+02 0.000000000000000000e+00
-4.087555066148632221e+01 -3.544894783568996672e+02 0.000000000000000000e+00
3.888510934676033912e+02 -1.431029801418576710e+02 0.000000000000000000e+00
-3.428243754089524487e+02 -1.869300074451510625e+02 0.000000000000000000e+00
-4.198151515617854557e+01 4.161630756404512113e+02 0.000000000000000000e+00
-2.563586807157047360e+02 2.225606535646880957e+02 0.000000000000000000e+00
3.193136943564769012e+02 -2.249905728864314938e+02 0.000000000000000000e+00
2.088911553995227166e+02 -3.308429223870635383e+02 0.000000000000000000e+00
4.139864121633899572e+02 1.487818585169574348e+01 0.000000000000000000e+00
8.982796030897534934e+01 3.664288175732431228e+02 0.000000000000000000e+00
1.474191328550284368e+02 -2.908252331385820071e+02 0.000000000000000000e+00
-3.345616024268653064e+02 1.102079750646976493e+02 0.000000000000000000e+00
3.308969720427026004e+02 -1.328589028214511245e+02 0.000000000000000000e+00
-3.466209939991107376e+02 1.487275306254158522e+02 0.000000000000000000e+00
1.735029500928986295e+02 -3.143430370215431253e+02 0.000000000000000000e+00
1.364044474471338333e+02 -3.369005194553012643e+02 0.000000000000000000e+00
1.084508612879879763e+01 -4.200281039289189948e+02 0.000000000000000000e+00
2.681785847561066589e+02 -2.430798297294379893e+02 0.000000000000000000e+00
-1.730648464265761959e+02 3.582863140108929088e+02 0.000000000000000000e+00
-3.099699917871566299e+02 2.006508206968446757e+02 0.000000000000000000e+00
-1.010456491921800648e+02 -3.624774477266770987e+02 0.000000000000000000e+00
-3.230268774252312483e+02 -1.716717293437498526e+01 0.000000000000000000e+00
2.495222410339835051e+00 3.729619472157049813e+02 0.000000000000000000e+00
3.237266159401184495e+02 1.341622721279172765e+02 0.000000000000000000e+00
3.289636694559833359e+02 6.431777281925329248e+01 0.000000000000000000e+00
-3.049384309477542843e+02 1.418645001232020206e+02 0.000000000000000000e+00
2.301167378621291277e+02 3.495410100862098375e+02 0.000000000000000000e+00
-2.115945852258891478e+02 -3.550241377858737337e+02 0.000000000000000000e+00
-2.552161564767414461e+02 -2.348603574171892774e+02 0.000000000000000000e+00
-3.279198083862406179e+02 6.168295790741281337e+01 0.000000000000000000e+00
3.427574832739436488e+02 -8.778102813856993691e+01 0.000000000000000000e+00
3.766482256123905472e+02 2.151671104801342160e+00 0.000000000000000000e+00
3.574366915344176618e+02 1.468037279824211225e+02 0.000000000000000000e+00
4.029039528672481083e+02 6.439983768962468957e+01 0.000000000000000000e+00
4.237664398390313636e+01 -3.336611456446804596e+02 0.000000000000000000e+00
-2.954152475156696482e+02 -2.725878003139134762e+02 0.000000000000000000e+00
-7.329604305320289370e+01 3.948980601046746415e+02 0.000000000000000000e+00
-2.146573349203353303e+02 -2.927197834350899370e+02 0.000000000000000000e+00
2.081364905437469304e+02 3.216173938729714337e+02 0.000000000000000000e+00
2.599184234511557747e+02 2.644399343793850221e+02 0.000000000000000000e+00
9.364025174860934442e+00 -3.207959953393414594e+02 0.000000000000000000e+00
3.782469165810850882e+02 -5.734949976920461978e+01 0.000000000000000000e+00
-3.367520035718652025e+02 2.376188007881518729e+02 0.000000000000000000e+00
2.499908023412400553e+02 -6.190132776345188859e+01 0.000000000000000000e+00
-1.035303963468358006e+02 -4.099334605090120363e+02 0.000000000000000000e+00
-7.340123623213648330e+01 -3.203164377780541940e+02 0.000000000000000000e+00
-4.086875672977627687e+02 3.281950187024504917e+00 0.000000000000000000e+00
8.406692493725073234e+01 -4.032841582789281460e+02 0.000000000000000000e+00
-3.548384017899897458e+02 1.509937281479534832e+01 0.000000000000000000e+00
9.213916637368119211e+01 -3.287396385944869621e+02 0.000000000000000000e+00
1.503004252544627946e+02 4.195095400255553386e+02 0.000000000000000000e+00
1.090447270057844378e+02 4.337744470680103177e+02 0.000000000000000000e+00
1.555984115376973023e+02 3.665356548380236177e+02 0.000000000000000000e+00
1.206651231389677008e+02 3.464046546098634280e+02 0.000000000000000000e+00
1.214906886243219049e+02 3.935603236221232919e+02 0.000000000000000000e+00
1.855314579659722654e+02 3.892516130099791667e+02 0.000000000000000000e+00
-4.335667058947570922e+02 -7.732201116242129046e+01 0.000000000000000000e+00
-3.630766458179152778e+02 -7.928317640338363503e+01 0.000000000000000000e+00
-4.217486483376233082e+02 -3.187667214881252420e+01 0.000000000000000000e+00
-4.389628724035925416e+02 -1.253920095296037402e+02 0.000000000000000000e+00
-4.664301407655368621e+02 -9.768171842199264177e+01 0.000000000000000000e+00
-3.911600829881291475e+02 -5.460425010734061857e+01 0.000000000000000000e+00
3.183762957440557670e+02 -3.430011668840954826e+02 0.000000000000000000e+00
2.824018085278136141e+02 -3.249497497428275778e+02 0.000000000000000000e+00
2.864487221648240052e+02 -2.765121582378600351e+02 0.000000000000000000e+00
2.503828439105010943e+02 -3.436511436819083087e+02 0.000000000000000000e+00
3.104745268683500399e+02 -3.032755539981520769e+02 0.000000000000000000e+00
2.414668727483935982e+02 -3.064484883810380325e+02 0.000000000000000000e+00
-1.672015139639294148e+02 5.035915492765359431e+02 0.000000000000000000e+00
-2.007834431489982876e+02 5.325743056546979233e+02 0.000000000000000000e+00
-1.698862621396634722e+02 5.494120324999971672e+02 0.000000000000000000e+00
-2.301303991445823272e+02 5.536137480803224662e+02 0.000000000000000000e+00
-1.444568404862197610e+02 5.784177534716390028e+02 0.000000000000000000e+00
-2.022957316456541719e+02 6.086079295508975520e+02 0.000000000000000000e+00
-6.826588356191616640e+02 4.057404980538277641e+02 0.000000000000000000e+00
-7.264117843228596030e+02 4.395145440435736646e+02 0.000000000000000000e+00
-6.137689690224497099e+02 4.532387594834157767e+02 0.000000000000000000e+00
-6.723126908923194378e+02 4.544357485684760150e+02 0.000000000000000000e+00
-7.159164796235666017e+02 4.849866444103608956e+02 0.000000000000000000e+00
-6.445686299980518470e+02 4.896574150290596208e+02 0.000000000000000000e+00
-1.133006016999502435e+03 -1.134188846575231082e+02 0.000000000000000000e+00
-1.097100318625377895e+03 -1.104074712401153420e+02 0.000000000000000000e+00
-1.179880194293662498e+03 -7.513707701090183377e+01 0.000000000000000000e+00
-1.104748430220659202e+03 -6.837475368893916539e+01 0.000000000000000000e+00
-1.141201550812699452e+03 -6.517253048725856956e+01 0.000000000000000000e+00
-1.131940048485320403e+03 -2.832489842756771381e+01 0.000000000000000000e+00
-1.232718293262209727e+03 -1.063060228193406829e+03 0.000000000000000000e+00
-1.192651030939201291e+03 -1.054034967507810052e+03 0.000000000000000000e+00
-1.188370778952386217e+03 -1.012752359184075203e+03 0.000000000000000000e+00
-1.148541774597554195e+03 -1.004951611612122292e+03 0.000000000000000000e+00
-1.245825924550233140e+03 -9.950131342566594412e+02 0.000000000000000000e+00
-1.213852702683237112e+03 -9.543615982174525243e+02 0.000000000000000000e+00
-4.272905525176848300e+02 -4.751000217023887444e+02 0.000000000000000000e+00
-3.726777778272092974e+02 -4.718119381554680558e+02 0.000000000000000000e+00
-3.371209510048316815e+02 -4.644072265331793687e+02 0.000000000000000000e+00
-3.939711203409959808e+02 -4.436990893979830162e+02 0.000000000000000000e+00
-3.583049604990764578e+02 -4.335098900857586841e+02 0.000000000000000000e+00
-4.178894127075420784e+02 -3.986172176461959111e+02 0.000000000000000000e+00
-2.418442163632755637e+01 -8.459222439203349495e+02 0.000000000000000000e+00
-1.018668154700664843e+02 -8.454572681227857629e+02 0.000000000000000000e+00
-6.696697727622688490e+01 -8.298795380656207499e+02 0.000000000000000000e+00
-1.019366831346652589e+02 -8.099943374209697140e+02 0.000000000000000000e+00
-2.485051251841255748e+01 -7.952374888183294388e+02 0.000000000000000000e+00
-7.049600253669618155e+01 -7.829553837267324070e+02 0.000000000000000000e+00
6.633797920812673965e+02 -9.779988121450888912e+02 0.000000000000000000e+00
6.240271127645404476e+02 -9.775502773530909053e+02 0.000000000000000000e+00
5.807589241284470063e+02 -9.580317407952429676e+02 0.000000000000000000e+00
6.397539115593278893e+02 -9.455672758794736410e+02 0.000000000000000000e+00
5.897268800360920977e+02 -9.150990238149665856e+02 0.000000000000000000e+00
6.432554066271302418e+02 -8.948716109732268933e+02 0.000000000000000000e+00
1.478430067536830848e+03 -5.956631104229829816e+02 0.000000000000000000e+00
1.464537373183447016e+03 -5.617852384779065460e+02 0.000000000000000000e+00
1.499111011317512975e+03 -5.536542994508996571e+02 0.000000000000000000e+00
1.431608963573710753e+03 -5.256592766102123733e+02 0.000000000000000000e+00
1.497485446132013521e+03 -5.143885030829380867e+02 0.000000000000000000e+00
1.458452945719642685e+03 -4.836466712739011768e+02 0.000000000000000000e+00
5.879828584933723050e+02 -1.583812509144513001e+02 0.000000000000000000e+00
5.508156858129309512e+02 -1.325009417539943968e+02 0.000000000000000000e+00
5.132996621014523271e+02 -1.256130913427926146e+02 0.000000000000000000e+00
5.871693501434011750e+02 -1.233537596247578989e+02 0.000000000000000000e+00
5.616832002659309637e+02 -8.082393497941383487e+01 0.000000000000000000e+00
5.999853668364387431e+02 -7.265192407919323614e+01 0.000000000000000000e+00
7.589814312090054500e+02 3.132463479317722204e+02 0.000000000000000000e+00
6.984808059190746690e+02 3.272694565195932910e+02 0.000000000000000000e+00
7.322912764108726833e+02 3.415142970162935399e+02 0.000000000000000000e+00
6.750617736307920040e+02 3.679168668303120739e+02 0.000000000000000000e+00
7.665106945370333733e+02 3.769341469263726481e+02 0.000000000000000000e+00
7.367586777247641976e+02 4.074327070299822253e+02 0.000000000000000000e+00
5.490541762722746171e+02 9.643153624430367472e+02 0.000000000000000000e+00
5.150059916047725892e+02 1.007557850770813502e+03 0.000000000000000000e+00
4.609934445367888429e+02 1.015792425341917351e+03 0.000000000000000000e+00
5.634521413131095642e+02 1.021270682467648726e+03 0.000000000000000000e+00
4.800330070291882407e+02 1.051000829140504493e+03 0.000000000000000000e+00
5.248504336488150557e+02 1.061290206625016708e+03 0.000000000000000000e+00
-2.568320379693328732e+02 1.501376271366378205e+03 0.000000000000000000e+00
-3.090973933225700989e+02 1.509128922479794710e+03 0.000000000000000000e+00
-2.269766613032180942e+02 1.528653723326030786e+03 0.000000000000000000e+00
-2.745894979756071734e+02 1.548458375418553715e+03 0.000000000000000000e+00
-2.547159965107816504e+02 1.581076256365341578e+03 0.000000000000000000e+00
-3.107694606627553640e+02 1.582605156330256705e+03 0.000000000000000000e+00
-5.664720941960106302e+02 -2.130150380143427810e+03 0.000000000000000000e+00
-5.105656330980448843e+02 -2.098650576567222743e+03 0.000000000000000000e+00
-5.697338483343285134e+02 -2.092256563968991031e+03 0.000000000000000000e+00
-6.120853490637541654e+02 -2.079028900750601679e+03 0.000000000000000000e+00
-5.346401428557435338e+02 -2.055701759893708640e+03 0.000000000000000000e+00
-5.637834315487973527e+02 -2.021707049574975372e+03 0.000000000000000000e+00
7.283735479210274661e+02 -2.773586257556431065e+03 0.000000000000000000e+00
7.686557827172134694e+02 -2.758778965303584300e+03 0.000000000000000000e+00
7.214892399608929736e+02 -2.718125455933022749e+03 0.000000000000000000e+00
7.815295475082309622e+02 -2.707103209882475767e+03 0.000000000000000000e+00
6.817255716846088944e+02 -2.699092040935722252e+03 0.000000000000000000e+00
7.579370251932045903e+02 -2.674704625547770775e+03 0.000000000000000000e+00
2.605888047548484792e+03 -2.653606197446173610e+03 0.000000000000000000e+00
2.641521215247811142e+03 -2.640316361863919610e+03 0.000000000000000000e+00
2.571553923256605231e+03 -2.632900393879629519e+03 0.000000000000000000e+00
2.673557470316427043e+03 -2.623046995829466141e+03 0.000000000000000000e+00
2.604401178049947703e+03 -2.586407219768705545e+03 0.000000000000000000e+00
2.639041577603799851e+03 -2.568702856523489572e+03 0.000000000000000000e+00
4.694207211978510713e+03 -1.288735780592090350e+03 0.000000000000000000e+00
4.746438647990908066e+03 -1.268406721016072424e+03 0.000000000000000000e+00
4.650353070756050329e+03 -1.260897425366232710e+03 0.000000000000000000e+00
4.730948525027916730e+03 -1.225705974422310419e+03 0.000000000000000000e+00
4.694520038969278176e+03 -1.222702961678799284e+03 0.000000000000000000e+00
4.646035971136336229e+03 -1.215634755559788118e+03 0.000000000000000000e+00
6.130623033722111359e+03 1.603979537836235522e+03 0.000000000000000000e+00
6.167543159566013856e+03 1.634859394396433345e+03 0.000000000000000000e+00
6.127614327096192028e+03 1.652686703597780252e+03 0.000000000000000000e+00
6.199079258881351052e+03 1.674772031146310837e+03 0.000000000000000000e+00
6.167102844204049688e+03 1.690080384254374167e+03 0.000000000000000000e+00
6.120762516996508566e+03 1.690245871368987082e+03 0.000000000000000000e+00
-1.523211156816571929e+03 1.462045857237055088e+03 0.000000000000000000e+00
-1.530424834836802802e+03 1.509417762759540892e+03 0.000000000000000000e+00
-1.467533991990479990e+03 1.529852420671255004e+03 0.000000000000000000e+00
-1.569529808169419994e+03 1.533632853696121856e+03 0.000000000000000000e+00
-1.506796298601768740e+03 1.539967209283276134e+03 0.000000000000000000e+00
-1.548555958478554658e+03 1.565050723342811807e+03 0.000000000000000000e+00
-2.734852150614822222e+03 6.893816966423455597e+02 0.000000000000000000e+00
-2.683336179606931637e+03 6.904564398264913052e+02 0.000000000000000000e+00
-2.708572843664350330e+03 7.158831277373269586e+02 0.000000000000000000e+00
-2.665821042228924853e+03 7.449497042796556343e+02 0.000000000000000000e+00
-2.750820855506683984e+03 7.481280655015640377e+02 0.000000000000000000e+00
-2.704308744464527081e+03 7.658396303054080363e+02 0.000000000000000000e+00
-3.558505595784555226e+03 -1.000480358237568680e+03 0.000000000000000000e+00
-3.605440995425228721e+03 -9.708799197812670627e+02 0.000000000000000000e+00
-3.522840855065592223e+03 -9.644079802011758602e+02 0.000000000000000000e+00
-3.558184286003231136e+03 -9.414355711069409836e+02 0.000000000000000000e+00
-3.533938936729922716e+03 -9.112022725048364009e+02 0.000000000000000000e+00
-3.599436056417569489e+03 -9.051876733060832976e+02 0.000000000000000000e+00
-3.455941495769322501e+03 -3.476657704338291296e+03 0.000000000000000000e+00
-3.417769927966182422e+03 -3.474298320955626423e+03 0.000000000000000000e+00
-3.383165237116273147e+03 -3.438208785868848281e+03 0.000000000000000000e+00
-3.414335795832912936e+03 -3.421189246915178046e+03 0.000000000000000000e+00
-3.452282925361832440e+03 -3.409026947784442655e+03 0.000000000000000000e+00
-3.422537249153069752e+03 -3.375409505412235831e+03 0.000000000000000000e+00
-1.646086906448364971e+03 -6.206545202224773675e+03 0.000000000000000000e+00
-1.694129553640546646e+03 -6.188813335251314129e+03 0.000000000000000000e+00
-1.647215429206873523e+03 -6.162502824676418641e+03 0.000000000000000000e+00
-1.703087190619039120e+03 -6.149303802284199264e+03 0.000000000000000000e+00
-1.602836021823383817e+03 -6.126492132350475003e+03 0.000000000000000000e+00
-1.680457315881601971e+03 -6.117118446970786863e+03 0.000000000000000000e+00
2.053062878786603960e+03 5.065835055528763746e+02 0.000000000000000000e+00
2.095573116313234095e+03 5.158461058250072711e+02 0.000000000000000000e+00
2.030849766474676926e+03 5.410029032686935579e+02 0.000000000000000000e+00
2.070617288955548247e+03 5.562060532746927493e+02 0.000000000000000000e+00
2.121848078506835009e+03 5.766103562392813728e+02 0.000000000000000000e+00
2.065483482345218363e+03 5.918370719206789090e+02 0.000000000000000000e+00
1.977229684432985778e+03 1.957424128549779198e+03 0.000000000000000000e+00
2.033593387473995790e+03 1.959871621321461589e+03 0.000000000000000000e+00
1.995558352561713718e+03 1.988286935868831733e+03 0.000000000000000000e+00
1.957101596623285786e+03 1.991090668792401175e+03 0.000000000000000000e+00
2.035418552623585356e+03 1.995310862466821163e+03 0.000000000000000000e+00
2.002952852789981080e+03 2.034321148432200062e+03 0.000000000000000000e+00
9.470199090049706001e+02 3.535689749691284760e+03 0.000000000000000000e+00
9.076838720098832027e+02 3.548251847539863320e+03 0.000000000000000000e+00
9.811573278790961012e+02 3.548444683846345924e+03 0.000000000000000000e+00
1.008036927032582980e+03 3.573295062105463330e+03 0.000000000000000000e+00
9.707393988013574244e+02 3.587368508179734363e+03 0.000000000000000000e+00
9.351022726042733666e+02 3.599993561751882226e+03 0.000000000000000000e+00
